City,Avg Temp (°C),Max Temp (°C),Avg Wind Speed (km/h),Avg Cloud Cover (%),Total Precip (mm),Avg Humidity (%)
Mumbai,27.473333333333336,0,0.0,14.406666666666668,0.0,68.3
Delhi,30.173333333333332,0,0.0,7.073333333333333,0.0,9.5
Kolkata,30.000000000000004,0,0.0,25.120000000000005,4.4,54.166666666666664
Chennai,29.206666666666667,0,0.0,41.54666666666666,0.6,68.84666666666665
Bengalūru,28.133333333333333,0,0.0,51.44666666666667,5.3999999999999995,43.82666666666667
Hyderabad,31.519999999999996,0,0.0,32.7,0.9,32.699999999999996
Ahmadābād,32.67333333333333,0,0.0,17.633333333333333,0.0,16.76
Hāora,30.000000000000004,0,0.0,25.120000000000005,4.4,54.166666666666664
Pune,28.433333333333337,0,0.0,22.619999999999997,0.0,32.37333333333333
Sūrat,29.759999999999998,0,0.0,15.866666666666665,0.0,45.76
Mardānpur,30.39333333333333,0,0.0,12.166666666666666,0.0,13.900000000000002
Rāmpura,28.286666666666672,0,0.0,15.660000000000002,0.6,10.566666666666665
Lucknow,30.806666666666672,0,0.0,10.78,0.0,15.006666666666666
Nāra,33.06,0,0.0,10.58,1.1,14.659999999999998
Patna,30.426666666666666,0,0.0,19.86,2.1,20.880000000000003
Indore,30.633333333333336,0,0.0,17.09333333333333,0.0,13.353333333333333
Vadodara,32.56666666666667,0,0.0,14.459999999999999,0.0,21.76
Bhopal,31.0,0,0.0,13.28,0.1,11.006666666666666
Coimbatore,28.87333333333333,0,0.0,47.886666666666656,20.60000000000001,57.07999999999999
Ludhiāna,26.499999999999996,0,0.0,10.106666666666667,0.0,12.073333333333332
Āgra,30.393333333333334,0,0.0,8.526666666666667,0.0,8.146666666666667
